Age,Gender,Education Level,Job Title,Years of Experience,Salary
60,Male,Master's,Marketing Manager,1,61200
50,Female,Bachelor's,Data Analyst,39,82900
36,Male,Bachelor's,Software Engineer,17,60400
64,Female,Master's,Marketing Manager,3,63600
29,Male,Master's,Marketing Manager,7,68400
42,Female,PhD,Product Manager,27,113750
60,Female,Master's,Product Manager,28,95000
40,Male,Master's,Project Manager,31,95650
44,Male,Master's,Product Manager,15,78750
32,Female,Bachelor's,Project Manager,8,49200
32,Female,Bachelor's,Marketing Manager,6,47200
45,Female,Bachelor's,Software Engineer,28,73600
57,Male,PhD,Data Scientist,4,85200
61,Male,PhD,Data Scientist,30,119000
45,Male,PhD,Data Analyst,17,98700
24,Male,Bachelor's,Sales Executive,34,77400
43,Female,Master's,Data Scientist,6,67800
23,Female,PhD,Sales Executive,36,119600
45,Female,PhD,HR Specialist,35,116750
51,Female,Bachelor's,UX Designer,39,84850
59,Male,PhD,Marketing Manager,39,126800
23,Female,Master's,Software Engineer,16,79200
42,Female,Bachelor's,Project Manager,2,42300
54,Male,Bachelor's,Sales Executive,8,48800
33,Male,Master's,Data Analyst,15,76500
43,Female,Master's,Data Scientist,27,95100
46,Male,Master's,Systems Engineer,16,78880
48,Female,PhD,Data Scientist,1,81300
63,Male,Master's,Product Manager,10,72500
49,Male,Bachelor's,Marketing Manager,7,48400
37,Female,Master's,Product Manager,10,72500
36,Male,Bachelor's,Data Scientist,12,55600
24,Female,Bachelor's,Systems Engineer,17,60060
58,Male,PhD,Product Manager,12,95000
28,Male,Master's,Software Engineer,15,78000
42,Male,PhD,Product Manager,32,120000
30,Male,Master's,Systems Engineer,32,97760
60,Male,Master's,Product Manager,26,92500
39,Female,Master's,Sales Executive,14,75400
25,Male,Master's,HR Specialist,26,87300
46,Female,Master's,Project Manager,5,65750
35,Male,Bachelor's,Data Scientist,38,89400
30,Female,Bachelor's,Sales Executive,4,44400
47,Male,Master's,Project Manager,28,92200
23,Female,Bachelor's,HR Specialist,1,41050
41,Female,PhD,Sales Executive,13,94300
49,Male,PhD,Data Analyst,3,83300
28,Male,PhD,Sales Executive,25,107500
29,Male,Master's,Software Engineer,16,79200
56,Female,Master's,Systems Engineer,21,84780
35,Female,Bachelor's,Data Scientist,13,56900
38,Male,Bachelor's,Marketing Manager,36,83200
57,Male,Bachelor's,Project Manager,8,49200
61,Female,PhD,Product Manager,19,103750
25,Female,PhD,Data Scientist,16,100800
23,Male,PhD,Marketing Manager,12,94400
27,Female,PhD,HR Specialist,20,101000
63,Male,Bachelor's,Sales Executive,18,59800
25,Male,Master's,Marketing Manager,12,74400
50,Male,Master's,Data Analyst,25,87500
39,Female,PhD,Data Scientist,11,94300
47,Female,Master's,Data Scientist,22,88600
55,Female,Master's,Data Scientist,34,104200
31,Female,Master's,Systems Engineer,13,75340
57,Male,PhD,HR Specialist,38,119900
35,Female,Bachelor's,Systems Engineer,12,54160
52,Male,Bachelor's,Data Scientist,39,90700
36,Male,Master's,Data Analyst,36,99600
29,Male,Bachelor's,Product Manager,28,75000
35,Female,Bachelor's,Data Analyst,27,69700
44,Male,PhD,Project Manager,39,124850
61,Male,PhD,HR Specialist,13,93650
42,Female,Master's,Sales Executive,27,89700
37,Male,Master's,Data Scientist,31,100300
39,Female,Master's,Marketing Manager,2,62400
45,Female,PhD,Product Manager,18,102500
47,Female,Bachelor's,Sales Executive,26,68600
46,Male,PhD,UX Designer,31,115650
62,Female,PhD,Data Analyst,38,121800
50,Female,Bachelor's,Product Manager,22,67500
36,Female,Bachelor's,UX Designer,36,81400
22,Female,Master's,Systems Engineer,19,82420
46,Male,Bachelor's,UX Designer,14,56100
28,Female,Bachelor's,Sales Executive,14,55400
30,Male,Bachelor's,HR Specialist,29,70450
45,Female,Bachelor's,Data Analyst,17,58700
22,Male,Master's,Product Manager,37,106250
29,Female,Master's,UX Designer,9,70350
45,Male,Bachelor's,Data Analyst,1,41100
32,Female,Bachelor's,Product Manager,4,45000
38,Male,Master's,Product Manager,7,68750
29,Male,Master's,Sales Executive,11,72100
56,Male,Bachelor's,Data Analyst,14,55400
56,Female,PhD,Sales Executive,19,100900
54,Male,Master's,UX Designer,3,63450
26,Male,Master's,Project Manager,8,69200
63,Male,Master's,HR Specialist,29,90450
60,Male,Bachelor's,Project Manager,37,82550
62,Female,Bachelor's,Software Engineer,9,50800
49,Male,Master's,Data Scientist,19,84700
28,Male,Bachelor's,Project Manager,12,53800
30,Male,Bachelor's,Systems Engineer,27,71860
29,Female,Master's,HR Specialist,37,98850
33,Male,Bachelor's,Data Scientist,25,72500
55,Male,PhD,UX Designer,38,123700
54,Male,Bachelor's,Sales Executive,17,58700
44,Male,Bachelor's,Systems Engineer,33,78940
45,Female,Master's,Data Scientist,39,110700
58,Male,Master's,Data Scientist,14,78200
56,Male,PhD,Product Manager,28,115000
61,Female,Bachelor's,Software Engineer,18,61600
43,Female,PhD,Sales Executive,33,116300
48,Female,PhD,UX Designer,15,97250
56,Male,Master's,Data Analyst,11,72100
22,Female,Bachelor's,Project Manager,36,81400
56,Male,Master's,HR Specialist,15,75750
58,Female,PhD,Software Engineer,30,116000
35,Male,PhD,Product Manager,15,98750
24,Female,Master's,Product Manager,23,88750
22,Male,Master's,Data Scientist,15,79500
26,Female,Master's,Marketing Manager,29,94800
47,Male,Master's,Project Manager,11,72650
35,Male,Master's,Software Engineer,18,81600
60,Male,PhD,Data Scientist,31,120300
48,Male,Master's,Software Engineer,9,70800
30,Male,Bachelor's,Systems Engineer,22,65960
36,Male,PhD,Sales Executive,11,92100
36,Male,PhD,HR Specialist,17,97850
47,Male,Bachelor's,Project Manager,33,77950
63,Female,Bachelor's,Product Manager,11,53750
34,Male,PhD,Marketing Manager,39,126800
53,Male,Master's,UX Designer,8,69200
60,Female,PhD,Data Analyst,4,84400
53,Male,PhD,Sales Executive,36,119600
25,Female,Bachelor's,Project Manager,19,61850
51,Male,PhD,Systems Engineer,24,108320
58,Female,Master's,Project Manager,18,80700
44,Female,Bachelor's,UX Designer,33,77950
60,Male,PhD,HR Specialist,36,117800
36,Female,PhD,HR Specialist,10,90500
64,Male,Master's,Software Engineer,14,76800
50,Male,PhD,Data Scientist,7,89100
57,Male,PhD,HR Specialist,12,92600
34,Male,PhD,Marketing Manager,22,106400
53,Female,PhD,Data Analyst,27,109700
28,Male,Master's,Systems Engineer,37,103660
43,Female,PhD,UX Designer,11,92650
49,Female,PhD,Product Manager,36,125000
23,Male,PhD,HR Specialist,13,93650
63,Male,Bachelor's,Product Manager,32,80000
27,Male,Master's,HR Specialist,8,68400
49,Male,Bachelor's,Marketing Manager,7,48400
49,Female,Bachelor's,Product Manager,17,61250
41,Male,Master's,Data Scientist,22,88600
51,Female,Bachelor's,Systems Engineer,34,80120
32,Male,Bachelor's,Data Analyst,20,62000
49,Male,Bachelor's,Marketing Manager,8,49600
46,Male,Master's,Data Scientist,22,88600
60,Male,PhD,Data Analyst,27,109700
54,Female,Master's,Data Scientist,34,104200
22,Female,Master's,Data Scientist,21,87300
48,Male,Master's,Data Scientist,15,79500
34,Female,Bachelor's,Software Engineer,5,46000
62,Female,PhD,Data Analyst,38,121800
24,Male,Master's,Data Scientist,17,82100
60,Male,Master's,Sales Executive,8,68800
27,Female,PhD,Sales Executive,19,100900
29,Female,PhD,HR Specialist,5,85250
48,Female,PhD,Systems Engineer,23,107140
30,Female,Bachelor's,Product Manager,19,63750
58,Male,PhD,HR Specialist,14,94700
54,Male,Bachelor's,Software Engineer,10,52000
63,Female,Master's,Sales Executive,31,94100
45,Male,Bachelor's,Data Analyst,13,54300
36,Female,PhD,Systems Engineer,22,105960
53,Female,Bachelor's,Systems Engineer,37,83660
53,Male,PhD,Product Manager,39,128750
45,Female,Bachelor's,Data Analyst,10,51000
62,Female,Master's,UX Designer,31,95650
33,Male,Bachelor's,Product Manager,35,83750
60,Male,Master's,Systems Engineer,13,75340
23,Female,PhD,Software Engineer,30,116000
24,Female,Master's,Marketing Manager,34,100800
58,Male,PhD,Marketing Manager,36,123200
38,Female,PhD,Sales Executive,35,118500
23,Female,Master's,Systems Engineer,4,64720
23,Male,Master's,Software Engineer,4,64800
49,Male,Bachelor's,Product Manager,6,47500
44,Male,Bachelor's,Software Engineer,28,73600
58,Male,Master's,Project Manager,30,94500
53,Male,Master's,Product Manager,27,93750
54,Male,Master's,Data Scientist,5,66500
22,Female,Master's,Product Manager,39,108750
40,Female,PhD,Sales Executive,35,118500
23,Male,Master's,Marketing Manager,39,106800
47,Male,Master's,Product Manager,15,78750
53,Female,Master's,Data Scientist,19,84700
27,Female,Master's,Project Manager,30,94500
53,Female,PhD,Software Engineer,38,125600
25,Male,Bachelor's,Data Analyst,32,75200
32,Male,Bachelor's,Marketing Manager,29,74800
38,Female,Bachelor's,Software Engineer,6,47200
59,Male,Bachelor's,Project Manager,26,69900
45,Male,Bachelor's,Data Analyst,27,69700
26,Male,PhD,Systems Engineer,35,121300
55,Female,Bachelor's,HR Specialist,28,69400
27,Female,PhD,Sales Executive,5,85500
43,Male,PhD,Software Engineer,16,99200
32,Male,Bachelor's,UX Designer,18,60700
37,Male,Bachelor's,Data Analyst,13,54300
54,Male,Bachelor's,Systems Engineer,25,69500
30,Male,Master's,UX Designer,10,71500
27,Female,PhD,HR Specialist,29,110450
37,Male,Bachelor's,HR Specialist,10,50500
50,Male,Master's,Marketing Manager,6,67200
24,Male,PhD,UX Designer,16,98400
41,Female,Master's,Marketing Manager,25,90000
57,Female,Master's,Marketing Manager,4,64800
40,Male,Bachelor's,Marketing Manager,37,84400
47,Female,PhD,Marketing Manager,34,120800
24,Female,Master's,Systems Engineer,19,82420
40,Female,PhD,Sales Executive,33,116300
41,Female,Bachelor's,Product Manager,4,45000
53,Female,PhD,Systems Engineer,34,120120
28,Female,Master's,Project Manager,12,73800
62,Male,Master's,Marketing Manager,31,97200
54,Female,PhD,Data Analyst,16,97600
61,Female,Master's,Data Analyst,2,62200
60,Male,Master's,UX Designer,2,62300
39,Male,Master's,UX Designer,36,101400
61,Male,Bachelor's,Project Manager,6,46900
22,Male,Bachelor's,Systems Engineer,23,67140
32,Female,Master's,Data Analyst,39,102900
49,Female,PhD,Data Scientist,37,128100
46,Female,Bachelor's,Data Scientist,16,60800
44,Female,PhD,Product Manager,19,103750
52,Male,Master's,Data Scientist,24,91200
51,Female,Master's,Software Engineer,27,92400
63,Female,PhD,Marketing Manager,7,88400
56,Male,Bachelor's,Project Manager,30,74500
28,Female,PhD,UX Designer,14,96100
37,Female,PhD,Software Engineer,15,98000
47,Female,Master's,Sales Executive,12,73200
23,Female,Bachelor's,Marketing Manager,29,74800
22,Male,PhD,Data Analyst,23,105300
33,Male,Bachelor's,Marketing Manager,13,55600
26,Male,Master's,UX Designer,9,70350
58,Male,Bachelor's,HR Specialist,24,65200
53,Male,Master's,HR Specialist,39,100950
30,Female,Bachelor's,Software Engineer,30,76000
62,Female,PhD,Systems Engineer,1,81180
56,Male,Master's,Data Analyst,10,71000
40,Male,PhD,UX Designer,38,123700
37,Male,Master's,UX Designer,15,77250
24,Female,Bachelor's,UX Designer,9,50350
41,Male,Bachelor's,Data Scientist,13,56900
45,Female,Master's,UX Designer,23,86450
54,Female,Master's,HR Specialist,33,94650
45,Female,Master's,Sales Executive,9,69900
32,Female,Bachelor's,Project Manager,3,43450
29,Male,Master's,Marketing Manager,30,96000
57,Female,Master's,Project Manager,9,70350
59,Female,PhD,HR Specialist,25,106250
61,Male,Master's,HR Specialist,24,85200
41,Female,PhD,Sales Executive,32,115200
56,Female,PhD,Product Manager,7,88750
46,Female,PhD,Software Engineer,36,123200
56,Male,Bachelor's,Data Scientist,25,72500
46,Female,PhD,Systems Engineer,20,103600
50,Female,Master's,UX Designer,17,79550
39,Male,Bachelor's,UX Designer,36,81400
39,Male,Bachelor's,Sales Executive,26,68600
23,Female,Bachelor's,Product Manager,19,63750
56,Female,Bachelor's,UX Designer,37,82550
37,Male,Bachelor's,Data Scientist,3,43900
62,Female,Bachelor's,Software Engineer,28,73600
57,Male,Bachelor's,Data Scientist,22,68600
54,Female,PhD,Product Manager,19,103750
25,Male,Master's,HR Specialist,16,76800
54,Female,Master's,Data Scientist,6,67800
35,Male,PhD,Project Manager,37,122550
42,Male,PhD,Data Scientist,31,120300
41,Male,Bachelor's,HR Specialist,34,75700
29,Male,Bachelor's,UX Designer,31,75650
28,Male,PhD,Marketing Manager,11,93200
24,Female,Bachelor's,Marketing Manager,36,83200
38,Female,Master's,Marketing Manager,6,67200
54,Male,Master's,UX Designer,27,91050
33,Female,Bachelor's,Sales Executive,7,47700
43,Female,Bachelor's,Software Engineer,32,78400
43,Female,Bachelor's,Software Engineer,8,49600
51,Female,Master's,UX Designer,33,97950
59,Female,Bachelor's,Data Scientist,15,59500
59,Female,PhD,Systems Engineer,27,111860
29,Male,Bachelor's,Software Engineer,30,76000
48,Female,PhD,Project Manager,22,105300
48,Female,Bachelor's,Project Manager,29,73350
55,Female,Bachelor's,Data Analyst,30,73000
42,Male,Master's,Project Manager,2,62300
51,Female,PhD,Software Engineer,15,98000
54,Female,PhD,Systems Engineer,27,111860
49,Female,PhD,HR Specialist,7,87350
54,Male,Master's,Marketing Manager,27,92400
26,Female,PhD,Data Scientist,21,107300
40,Male,Master's,HR Specialist,13,73650
25,Female,Bachelor's,Systems Engineer,17,60060
56,Male,Bachelor's,Sales Executive,11,52100
38,Male,PhD,Marketing Manager,10,92000
49,Male,Bachelor's,Data Analyst,33,76300
51,Female,Bachelor's,Sales Executive,14,55400
50,Male,PhD,Software Engineer,37,124400
